TAXA	Abiotrophia	Actinobacillus	Actinobaculum	Actinomyces	Aggregatibacter	Alloprevotella	Anaeroglobus	Atopobium	Avibacterium	Bacteroides	Bifidobacterium	Brochothrix	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chryseobacterium	Clostridium	Corynebacterium	Cryptobacterium	Dialister	Eubacterium	Faecalibacterium	Filifactor	Gallibacterium	Gardnerella	Histophilus	Johnsonella	Kingella	Kytococcus	Lachnoclostridium	Lactococcus	Lautropia	Leptotrichia	Mannheimia	Moraxella	Moritella	Morococcus	Mycoplasma	Necropsobacter	Oribacterium	Ottowia	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Prevotella	Propionibacterium	Rothia	Ruminococcus	Sanguibacter	Scardovia	Simonsiella	Solobacterium	Staphylococcus	Tannerella	Treponema	Varibaculum	Veillonella	Vibrio
Abiotrophia	0.0	0.0	0.9703784010607079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9703784010607077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9703784010607077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9703784010607077	0.0	0.0	0.9703784010607077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9703784010607077	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.875	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9185586535436919	0.875	0.875	0.0	0.0	0.875	0.0	0.0	0.8342797655898931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875
Actinobaculum	0.9703784010607079	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.9999999999999999	0.0	0.8607285626355069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372733	0.8017837257372732	0.0	0.0	0.9999999999999999	0.9647881296349099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.991031208965115	0.0	0.9855274566525746	0.9925859448717141	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.8770580193070293	0.0	0.0	0.0
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8623290079778784	0.0	0.0	0.8623290079778784	0.0	0.0	0.856564426338403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aggregatibacter	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.9660722399132524	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132524	0.9660722399132524	0.0	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132524
Anaeroglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.9128709291752769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8669115131260137	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8678636211259824	0.0	0.9704949588309456	0.0	0.0	0.0	0.0
Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9089673318998405	0.0	0.0	0.9089673318998405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Avibacterium	0.0	0.875	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999
Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8897565210026092	0.0	0.0	0.0	0.0	0.0
Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.912870929175277	0.0	0.0	0.0	0.0	0.0	0.0	0.9185586535436917	0.0	0.0	0.9185586535436917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9890117262423538	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8771954880198103	0.0	0.0	0.0	0.0	0.0	0.0
Brochothrix	0.0	0.0	0.0	0.8623290079778784	0.0	0.0	0.0	0.9089673318998405	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.8749999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9525793444156803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.9690804594432726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carnobacterium	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Catonella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8878477434983879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.928204459111951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellulomonas	0.0	0.0	0.0	0.8623290079778784	0.0	0.0	0.0	0.9089673318998405	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.8749999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9525793444156803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.9690804594432726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Centipeda	0.0	0.0	0.0	0.0	0.0	0.0	0.9128709291752769	0.0	0.0	0.0	0.912870929175277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9128709291752769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8859366348279276	0.0	0.0	0.0	0.0
Chryseobacterium	0.9703784010607077	0.0	0.9999999999999999	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.0	0.0	0.8607285626355067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.8017837257372732	0.0	0.0	0.9999999999999999	0.9647881296349097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.9910312089651149	0.0	0.9855274566525744	0.9925859448717139	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.8770580193070292	0.0	0.0	0.0
Clostridium	0.0	0.0	0.0	0.856564426338403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8749999999999997	0.0	0.0	0.8749999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9185586535436917	0.0	0.0	0.9185586535436917	0.0	0.0	0.0	0.9185586535436917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9617389408111265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium	0.0	0.0	0.8607285626355069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8607285626355067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8607285626355067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8607285626355067	0.0	0.0	0.8607285626355067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8607285626355067	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cryptobacterium	0.0	0.875	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999
Dialister	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9128709291752769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eubacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9128709291752769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Faecalibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9185586535436917	0.0	0.0	0.0	0.0	0.0	0.0	0.9185586535436917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9072190995143482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8337200259107826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Filifactor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0
Gallibacterium	0.0	0.875	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999
Gardnerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9185586535436917	0.0	0.0	0.0	0.0	0.0	0.0	0.9185586535436917	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9072190995143482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8337200259107826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Histophilus	0.0	0.875	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999
Johnsonella	0.0	0.0	0.8017837257372733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.0	0.0	0.8017837257372732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.0	0.0	0.0	0.0	0.0	0.0	0.0
