TAXA	Abiotrophia	Actinobacillus	Actinobaculum	Actinomyces	Aggregatibacter	Alloprevotella	Anaeroglobus	Atopobium	Avibacterium	Bacteroides	Bifidobacterium	Brochothrix	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chryseobacterium	Clostridium	Corynebacterium	Cryptobacterium	Dialister	Eubacterium	Faecalibacterium	Filifactor	Gallibacterium	Gardnerella	Histophilus	Johnsonella	Kingella	Kytococcus	Lachnoclostridium	Lactococcus	Lautropia	Leptotrichia	Mannheimia	Moraxella	Moritella	Morococcus	Mycoplasma	Necropsobacter	Oribacterium	Ottowia	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Prevotella	Propionibacterium	Rothia	Ruminococcus	Sanguibacter	Scardovia	Simonsiella	Solobacterium	Staphylococcus	Tannerella	Treponema	Varibaculum	Veillonella	Vibrio
Kingella	0.0	0.0	0.8017837257372732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.0	0.801783725737273	0.8017837257372732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.0	0.0	0.0	0.937614461876991	0.0	0.0	0.0
Kytococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9525793444156803	0.0	0.0	0.9525793444156803	0.0	0.0	0.9185586535436917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lachnoclostridium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8878477434983879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.830259209967461	0.0
Lactococcus	0.9703784010607077	0.0	0.9999999999999999	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.9999999999999999	0.0	0.8607285626355067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.8017837257372732	0.0	0.0	0.0	0.9647881296349097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.9910312089651149	0.0	0.9855274566525744	0.9925859448717139	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.8770580193070292	0.0	0.0	0.0
Lautropia	0.0	0.0	0.9647881296349099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9647881296349097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9647881296349097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9647881296349097	0.0	0.0	0.9647881296349097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9647881296349097	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptotrichia	0.0	0.0	0.0	0.0	0.0	0.0	0.8669115131260137	0.0	0.0	0.0	0.9890117262423538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9072190995143482	0.0	0.0	0.9072190995143482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8669115131260137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mannheimia	0.0	0.9185586535436919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Moraxella	0.0	0.875	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999
Moritella	0.0	0.875	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999
Morococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.9128709291752769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8669115131260137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8678636211259824	0.0	0.9704949588309456	0.0	0.0	0.0	0.0
Mycoplasma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.928204459111951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9048101093512436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Necropsobacter	0.0	0.875	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999
Oribacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9048101093512436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ottowia	0.9703784010607077	0.0	0.9999999999999999	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.9999999999999999	0.0	0.8607285626355067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.8017837257372732	0.0	0.0	0.9999999999999999	0.9647881296349097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9910312089651149	0.0	0.9855274566525744	0.9925859448717139	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.8770580193070292	0.0	0.0	0.0
Parvimonas	0.0	0.8342797655898931	0.0	0.0	0.0	0.0	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.9534625892455921	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9534625892455921	0.9534625892455921	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.8342797655898931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9534625892455924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9534625892455921
Pasteurella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.801783725737273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8342797655898931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peptoclostridium	0.9703784010607077	0.0	0.9999999999999999	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.9999999999999999	0.0	0.8607285626355067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.8017837257372732	0.0	0.0	0.9999999999999999	0.9647881296349097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.9910312089651149	0.0	0.9855274566525744	0.9925859448717139	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.8770580193070292	0.0	0.0	0.0
Peptoniphilus	0.0	0.0	0.991031208965115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9910312089651149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9910312089651149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9910312089651149	0.0	0.0	0.9910312089651149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9910312089651149	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8337200259107826	0.0	0.0	0.8337200259107826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionibacterium	0.0	0.0	0.9855274566525746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9855274566525744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9855274566525744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9855274566525744	0.0	0.0	0.9855274566525744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9855274566525744	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rothia	0.0	0.0	0.9925859448717141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9925859448717139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9925859448717139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9925859448717139	0.0	0.0	0.9925859448717139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9925859448717139	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sanguibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9690804594432726	0.0	0.0	0.9690804594432726	0.0	0.0	0.9617389408111265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scardovia	0.0	0.875	0.0	0.0	0.0	0.9660722399132526	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9534625892455924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999
Simonsiella	0.9703784010607077	0.0	0.9999999999999999	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.9999999999999999	0.0	0.8607285626355067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372732	0.8017837257372732	0.0	0.0	0.9999999999999999	0.9647881296349097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.9910312089651149	0.0	0.9855274566525744	0.9925859448717139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8770580193070292	0.0	0.0	0.0
Solobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.8678636211259824	0.0	0.0	0.0	0.8771954880198103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8678636211259824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8897565210026092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tannerella	0.0	0.0	0.0	0.0	0.0	0.0	0.9704949588309456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8859366348279276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9704949588309456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Treponema	0.0	0.0	0.8770580193070293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8770580193070292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.937614461876991	0.0	0.0	0.8770580193070292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8770580193070292	0.0	0.0	0.8770580193070292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8770580193070292	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Varibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Veillonella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.830259209967461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vibrio	0.0	0.875	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
